report,num_scenes,num_scene_time_groups,num_samples,candidate_count_mean,feasible_fraction,hard_violation_mean,hard_violation_p95,harm_proxy_std,num_failures,num_warnings
calibration_contact,543,1896,16843,8.8834388185654,0.8782877159650894,0.021611351896930475,0.0,0.0,0,2
calibration_near_contact,316,765,6039,7.894117647058824,0.8618976651763537,0.03477396920019871,0.0,0.0,0,3
calibration_safe,135,318,2544,8.0,0.9508647798742138,0.00550314465408805,0.0,0.0,0,5
test_contact,209,747,6687,8.951807228915662,0.8965156273366233,0.02123523254075071,0.0,0.0,0,2
test_near_contact,250,595,4723,7.93781512605042,0.8994283294516198,0.016091467287740843,0.0,0.0,0,3
test_safe,175,402,3216,8.0,0.9275497512437811,0.009328358208955223,0.0,0.0,0,3221
train_contact,500,2000,16790,8.395,0.8699225729600953,0.09362715902322812,1.0,0.16391816739589557,0,3
train_near_contact,600,1800,13324,7.402222222222222,0.8786400480336235,0.08938757129990994,1.0,0.16597530707349653,0,3
train_safe,1171,2500,20000,8.0,0.91345,0.0063,0.0,0.0,0,20006
val_contact,211,723,6477,8.95850622406639,0.9177088158097885,0.014821676702176934,0.0,0.0,0,3
val_near_contact,176,433,3445,7.956120092378753,0.9349782293178519,0.008708272859216255,0.0,0.0,0,4
val_safe,132,291,2328,8.0,0.9239690721649485,0.011168384879725086,0.0,0.0,0,2335
