task,group,variant,regime,valid,candidate_benefit_auc,candidate_safe_benefit_auc,candidate_harm_auc,candidate_pred_teacher_correlation,learned_top1_correlation,learned_top1_benefit_auc,learned_top1_safe_benefit_auc,learned_top1_harm_auc,conditional_harm_auc,false_switch_rate,harmful_switch_rate,positive_top1_regret_mean,fit_selected,verify_selected,oracle_fit_feasible
A_semantic_prior_categorical_balanced,A_semantic_prior_categorical,balanced,near,False,0.8525797373358349,0.852589908749329,0.6366311659192825,0.04653610574928737,-0.03927817566284877,0.7978778467908902,0.8252273625939106,0.6095355919299581,0.475,0.028985507246376812,0.4,0.0,0,0,False
A_semantic_prior_categorical_balanced,A_semantic_prior_categorical,balanced,contact,False,0.5680794196258114,0.5820967023172906,0.6170977718894628,-0.13467461005361894,-0.20968216888491872,0.3862508858965273,0.45345889170590364,0.6108609380461826,0.6194911858974359,0.05327868852459016,0.4418604651162791,0.18228607412335662,0,0,False
A_semantic_prior_categorical_precision,A_semantic_prior_categorical,precision,near,False,0.7690900562851782,0.7614734299516909,0.6619282511210762,0.057578777172450475,0.06633895699377333,0.7137290167865707,0.7460106382978723,0.6334194412552622,0.6503267973856209,0.2246376811594203,0.5230769230769231,0.046924358645155366,0,0,False
A_semantic_prior_categorical_precision,A_semantic_prior_categorical,precision,contact,False,0.5621021208650074,0.5795231729055258,0.6403406395187496,-0.09150620092589902,-0.02833628515420244,0.42275177652536144,0.5006675567423231,0.6563080291566198,0.5123577235772357,0.28005464480874315,0.4325581395348837,0.10601635966937724,0,0,False
B_add_benefit_listwise_balanced,B_add_benefit_listwise,balanced,near,False,0.8542213883677299,0.855877616747182,0.6151681614349775,0.05237406050653633,-0.046558926703216603,0.7898550724637681,0.8212732305258995,0.5479667063020214,0.5691964285714286,0.050724637681159424,0.5882352941176471,0.0,0,0,False
B_add_benefit_listwise_balanced,B_add_benefit_listwise,balanced,contact,False,0.5701412752959145,0.5810717468805704,0.5907721177344708,-0.13720691151186856,-0.21533316442829512,0.3793999527521852,0.41411790780141844,0.5634512546277252,0.53408,0.06420765027322405,0.49056603773584906,0.16813298120327436,0,0,False
B_add_benefit_listwise_precision,B_add_benefit_listwise,precision,near,False,0.7307692307692307,0.7285292538915727,0.6631390134529148,0.04042458304670801,0.050954993976070825,0.6994859628311586,0.6940938919737506,0.6175470523442363,0.4807692307692308,0.23550724637681159,0.5294117647058824,0.09692845612395663,0,0,False
B_add_benefit_listwise_precision,B_add_benefit_listwise,precision,contact,False,0.5567357423027526,0.5744986631016042,0.6346349667439508,-0.08965504367928324,-0.01600350358675443,0.42671281163878744,0.4848571428571429,0.6479403088669096,0.4722946544980443,0.31830601092896177,0.4426229508196721,0.1237282655650021,0,0,False
C_add_frontier_contrast_balanced,C_add_frontier_contrast,balanced,near,False,0.8523452157598499,0.8523215244229737,0.6359136771300449,0.04701378806430542,-0.03862873891497448,0.7963250517598344,0.8248319493871096,0.6076798629615531,0.48392857142857143,0.028985507246376812,0.4,0.0,0,0,False
C_add_frontier_contrast_balanced,C_add_frontier_contrast,balanced,contact,False,0.5682668610503662,0.5820744206773618,0.6146908485439848,-0.13468824256490208,-0.2112789031260404,0.4078045874292523,0.45297597488832547,0.6079665432606609,0.6140873015873016,0.05874316939890711,0.425531914893617,0.17995345235645918,0,0,False
C_add_frontier_contrast_precision,C_add_frontier_contrast,precision,near,False,0.7709193245778612,0.7626811594202898,0.6625168161434978,0.057725984999711544,0.06589881235550561,0.7143285371702638,0.7464539007092199,0.6309797168006124,0.630718954248366,0.213768115942029,0.5,0.046924358645155366,0,0,False
C_add_frontier_contrast_precision,C_add_frontier_contrast,precision,contact,False,0.5616925266409802,0.5792000891265597,0.6410198596353024,-0.0922411414713629,-0.023749757482604397,0.4224454790492526,0.5000445037828215,0.6559500260281104,0.5148401826484018,0.27595628415300544,0.41509433962264153,0.10601635966937724,0,0,False
D_full_frontier_balanced,D_full_frontier,balanced,near,False,0.8561913696060037,0.8577563070316694,0.6240414798206279,0.05400505152980324,-0.045946756876297366,0.7932194616977226,0.8252273625939106,0.5543876337693222,0.578125,0.03985507246376811,0.5,0.0,0,0,False
D_full_frontier_balanced,D_full_frontier,balanced,contact,False,0.569877468846541,0.5818961675579323,0.6049059386441558,-0.1345448400452223,-0.211023803245013,0.37892747460429954,0.4133421985815603,0.5815915075707703,0.5548599320882852,0.06147540983606557,0.5,0.16813298120327436,0,0,False
D_full_frontier_precision,D_full_frontier,precision,near,False,0.7337711069418387,0.731682769726248,0.662780269058296,0.040321401588603166,0.04866528579594768,0.7018584420719652,0.6971226653205452,0.6218905472636815,0.4935897435897436,0.2318840579710145,0.5223880597014925,0.09692845612395663,0,0,False
D_full_frontier_precision,D_full_frontier,precision,contact,False,0.5564858204033462,0.5742758467023172,0.6341621982114243,-0.08993052145695273,-0.016419273680005102,0.4262641799653913,0.48447619047619045,0.6476140898837411,0.4841701311160857,0.31830601092896177,0.4385245901639344,0.1237282655650021,0,0,False
