variant,regime,metric,n,paired_delta,ci_low,ci_high,direction,interpretation_valid,invalid_reason
balanced,near_contact,min_clearance_m_min,8,0.0,0.0,0.0,higher_is_better,False,v48.28 bucket alias bug: gamma_rec=0 and contact provenance prefix not recognized
balanced,near_contact,ttc_s_min,8,0.012912683430178123,0.0,0.03873805029053437,higher_is_better,False,v48.28 bucket alias bug: gamma_rec=0 and contact provenance prefix not recognized
balanced,near_contact,near_contact_exposure_duration_s,8,0.0,0.0,0.0,lower_is_better,False,v48.28 bucket alias bug: gamma_rec=0 and contact provenance prefix not recognized
balanced,near_contact,critical_ttc_exposure_duration_s,8,0.0,0.0,0.0,lower_is_better,False,v48.28 bucket alias bug: gamma_rec=0 and contact provenance prefix not recognized
balanced,near_contact,clearance_deficit_auc_m_s,8,-0.011719865397908924,-0.03515959619372677,0.0,lower_is_better,False,v48.28 bucket alias bug: gamma_rec=0 and contact provenance prefix not recognized
balanced,near_contact,ttc_deficit_auc_s2,8,-0.008818695660597564,-0.026456086981792692,0.0,lower_is_better,False,v48.28 bucket alias bug: gamma_rec=0 and contact provenance prefix not recognized
balanced,near_contact,intervention_rate,8,0.041666666666666664,0.0,0.125,lower_is_better,False,v48.28 bucket alias bug: gamma_rec=0 and contact provenance prefix not recognized
balanced,near_contact,closed_loop_bounded_NUP,8,-0.01950345503943955,-0.058510365118318655,0.0,higher_is_better,False,v48.28 bucket alias bug: gamma_rec=0 and contact provenance prefix not recognized
balanced,contact,closed_loop_FRA_exec,8,-0.020833333333333336,-0.0625,0.0,lower_is_better,False,v48.28 bucket alias bug: gamma_rec=0 and contact provenance prefix not recognized
balanced,contact,closed_loop_DRS,8,0.02083333333333333,0.0,0.062499999999999986,higher_is_better,False,v48.28 bucket alias bug: gamma_rec=0 and contact provenance prefix not recognized
balanced,contact,closed_loop_post_contact_deployability,8,0.010695397696527068,0.0,0.0320861930895812,higher_is_better,False,v48.28 bucket alias bug: gamma_rec=0 and contact provenance prefix not recognized
balanced,contact,recontact_scene_rate,,,,,,False,v48.28 bucket alias bug: gamma_rec=0 and contact provenance prefix not recognized
