source,task,variant,bucket,rejection_kind,pipeline_certificate_valid,support_feasible,dev_groups,dev_selected,dev_positive_selected,dev_harmful_selected,dev_safe_recall,dev_precision_lcb90,dev_harmful_group_ucb90,dev_teacher_advantage_mean,dev_max_macro_share,dev_constraint_deficit,certificate_groups,certificate_selected,certificate_positive_selected,certificate_harmful_selected,certificate_safe_recall,certificate_precision_lcb90,certificate_harmful_selected_ucb90,certificate_harmful_group_ucb90,certificate_teacher_advantage_mean,certificate_max_macro_share,candidate_positive_auc,candidate_safe_positive_auc,candidate_harm_auc,candidate_rank_teacher_correlation,proposal_evidence_top1_correlation,proposal_evidence_top1_safe_positive_auc,proposal_evidence_top1_harm_auc,proposal_nonpositive_false_switch_rate,proposal_harmful_switch_rate,oracle_safe_positive_groups,oracle_precision_lcb90,oracle_harmful_group_ucb90
ablation,A_natural_population_reference,balanced,near,development_rule_fit_rejection,True,True,110,5,1,0,0.125,0.061895749028760355,0.014711030858610509,0.12449186624037092,0.8,0.7381042509712397,290,3,0,2,0.0,0.0,0.8942243638782772,0.01647646214069437,-0.3996936615734629,1.0,0.7909943714821763,0.7952898550724637,0.7049943946188341,0.06013654544927309,-0.006606084476798374,0.7362593910636616,0.6378666666666667,0.021352313167259787,0.5,9,0.8456759411873505,0.005631467026845402
ablation,A_natural_population_reference,balanced,contact,development_rule_fit_rejection,True,True,279,10,2,4,0.11764705882352941,0.08623722078860266,0.026706843503640092,-0.10428049503806132,0.7,0.8461031963990742,764,14,0,6,0.0,6.938893903907228e-18,0.5965994577886744,0.01313148276294284,-0.26079827123018806,0.8571428571428571,0.5679058627512236,0.5860628342245989,0.7065069734757271,0.06213287655170249,-0.11297362458853055,0.531906176380211,0.6551416415897063,0.03225806451612903,0.4,20,0.9241130208892355,0.002145093414408229
ablation,A_natural_population_reference,precision,near,development_rule_fit_rejection,True,True,110,10,3,1,0.375,0.15379917807596724,0.029902203883481276,0.19131984612457859,0.6,0.278645123314338,290,8,0,4,0.0,0.0,0.7063545713642548,0.02570182044742849,-0.295265151144051,0.875,0.8088649155722326,0.7822061191626409,0.693539798206278,0.05984319570180312,-0.027728139878365317,0.779404341241797,0.6484944380514001,0.03202846975088968,0.5555555555555556,9,0.8456759411873505,0.005631467026845402
ablation,A_natural_population_reference,precision,contact,development_rule_fit_rejection,True,True,279,18,1,2,0.058823529411764705,0.016769000711209653,0.017121468046272896,-0.023813656072346985,0.6111111111111112,0.4070446553611373,764,37,1,18,0.05,0.008119604803794249,0.5901047296944848,0.03168099493978118,-0.2003473693262414,0.8108108108108109,0.5424832517616023,0.5577317290552585,0.6882332108424567,0.08192934524302908,-0.13398395926248585,0.4593333333333333,0.6817907004218237,0.0793010752688172,0.4918032786885246,20,0.9241130208892355,0.002145093414408229
ablation,B_add_signed_component_margin,balanced,near,development_rule_fit_rejection,True,True,110,5,1,0,0.125,0.061895749028760355,0.014711030858610509,0.12449186624037092,0.8,0.7381042509712397,290,3,0,2,0.0,0.0,0.8942243638782772,0.01647646214069437,-0.3996936615734629,1.0,0.7907598499061914,0.7950214707461084,0.7030156950672646,0.06013654544927309,-0.006603709173351962,0.7366548042704626,0.6374787878787879,0.021352313167259787,0.5,9,0.8456759411873505,0.005631467026845402
ablation,B_add_signed_component_margin,balanced,contact,development_rule_fit_rejection,True,True,279,8,1,2,0.058823529411764705,0.03817654300795956,0.017121468046272896,-0.07253305832085571,0.75,0.9900619514296691,764,11,0,5,0.0,0.0,0.6400166941093258,0.01148465132224024,-0.2827116911372269,1.0,0.5679440452636328,0.5861241087344029,0.6983910204191247,0.06213287655170249,-0.11307429638564535,0.5318037488476902,0.6463214693369306,0.03225806451612903,0.4,20,0.9241130208892355,0.002145093414408229
ablation,B_add_signed_component_margin,precision,near,development_rule_fit_rejection,True,True,110,10,3,1,0.375,0.15379917807596724,0.029902203883481276,0.19131984612457859,0.6,0.278645123314338,290,8,0,4,0.0,0.0,0.7063545713642548,0.02570182044742849,-0.295265151144051,0.875,0.8089118198874297,0.7822732152442298,0.6928363228699551,0.05984319570180312,-0.027722845811430013,0.779404341241797,0.6469601074031454,0.03202846975088968,0.5555555555555556,9,0.8456759411873505,0.005631467026845402
ablation,B_add_signed_component_margin,precision,contact,development_rule_fit_rejection,True,True,279,18,1,2,0.058823529411764705,0.016769000711209653,0.017121468046272896,-0.023813656072346985,0.6111111111111112,0.4070446553611373,764,37,1,18,0.05,0.008119604803794249,0.5901047296944848,0.03168099493978118,-0.2003473693262414,0.8108108108108109,0.5425040785865528,0.5577540106951872,0.6875788880036523,0.08192934524302908,-0.13395826873149305,0.4593333333333333,0.6813528933488071,0.0793010752688172,0.4918032786885246,20,0.9241130208892355,0.002145093414408229
ablation,C_add_safety_slack_projection,balanced,near,development_rule_fit_rejection,True,True,110,5,1,0,0.125,0.061895749028760355,0.014711030858610509,0.12449186624037092,0.8,0.7381042509712397,290,3,0,2,0.0,0.0,0.8942243638782772,0.01647646214069437,-0.3996936615734629,1.0,0.7881332082551594,0.7936124530327429,0.7030156950672646,0.06013654544927309,-0.0037738809774248844,0.7362593910636616,0.6357818181818182,0.021352313167259787,0.5,9,0.8456759411873505,0.005631467026845402
ablation,C_add_safety_slack_projection,balanced,contact,development_rule_fit_rejection,True,True,279,10,1,4,0.058823529411764705,0.03041064428212753,0.026706843503640092,-0.06952341999258292,0.8,0.967172697860071,764,12,0,5,0.0,0.0,0.598051107354122,0.01148465132224024,-0.259152383542458,1.0,0.568100246450762,0.5861853832442068,0.6983910204191247,0.06213287655170249,-0.10277326247521534,0.5327255966403769,0.6467940416750344,0.03225806451612903,0.36,20,0.9241130208892355,0.002145093414408229
ablation,C_add_safety_slack_projection,precision,near,development_rule_fit_rejection,True,True,110,10,3,1,0.375,0.15379917807596724,0.029902203883481276,0.19131984612457859,0.6,0.278645123314338,290,8,0,4,0.0,0.0,0.7063545713642548,0.02570182044742849,-0.295265151144051,0.875,0.8075984990619137,0.7809983896940419,0.6928363228699551,0.05984319570180312,-0.027327047819111435,0.7763755678950025,0.6463847334100499,0.03202846975088968,0.5555555555555556,9,0.8456759411873505,0.005631467026845402
ablation,C_add_safety_slack_projection,precision,contact,development_rule_fit_rejection,True,True,279,17,1,2,0.058823529411764705,0.01776506452150639,0.017121468046272896,-0.025214459370720338,0.5882352941176471,0.41017119119492307,764,36,1,18,0.05,0.008346174997854956,0.6044401735326418,0.03168099493978118,-0.2059125740297481,0.8055555555555556,0.5428095386858274,0.558166221033868,0.6875788880036523,0.08192934524302908,-0.1345749730528573,0.4599047619047619,0.6805011528738506,0.0793010752688172,0.4918032786885246,20,0.9241130208892355,0.002145093414408229
ablation,D_full_slack_rank,balanced,near,development_rule_fit_rejection,True,True,110,5,1,0,0.125,0.061895749028760355,0.014711030858610509,0.12449186624037092,0.8,0.7381042509712397,290,2,0,1,0.0,0.0,0.8357482799701008,0.011457196968193122,-0.3112296656009273,1.0,0.7942776735459662,0.7989130434782609,0.7030156950672646,0.06013654544927309,-0.0032600787508252245,0.7421905891656781,0.6352484848484848,0.014234875444839857,0.25,9,0.8456759411873505,0.005631467026845402
ablation,D_full_slack_rank,balanced,contact,development_rule_fit_rejection,True,True,279,8,1,2,0.058823529411764705,0.03817654300795956,0.017121468046272896,-0.07253305832085571,0.75,0.9900619514296691,764,11,0,5,0.0,0.0,0.6400166941093258,0.01148465132224024,-0.2827116911372269,1.0,0.5681280155506959,0.587087789661319,0.6983910204191247,0.06213287655170249,-0.10123626323305791,0.5344668646932296,0.6508758072115518,0.03225806451612903,0.32,20,0.9241130208892355,0.002145093414408229
ablation,D_full_slack_rank,precision,near,development_rule_fit_rejection,True,True,110,5,3,1,0.375,0.33042112439620747,0.029902203883481276,0.38263969224915717,0.6,0.6810374028474373,290,6,0,3,0.0,0.0,0.7317885263804511,0.021180520968736117,-0.2935625172867231,1.0,0.7961069418386492,0.7699946323134729,0.6928363228699551,0.05984319570180312,-0.024241132924723397,0.7592125189298334,0.6477272727272727,0.021352313167259787,0.5,9,0.8456759411873505,0.005631467026845402
ablation,D_full_slack_rank,precision,contact,development_rule_fit_rejection,True,True,279,10,0,2,0.0,0.0,0.017121468046272896,-0.054136697314671724,0.5,0.6025406857803938,764,20,1,10,0.05,0.015078196553383869,0.6377379569243392,0.019500089546205596,-0.20569821867919566,0.9,0.5393384011940713,0.5557486631016043,0.6875788880036523,0.08192934524302908,-0.09729183974119868,0.4552380952380952,0.6802012840534444,0.04435483870967742,0.4857142857142857,20,0.9241130208892355,0.002145093414408229
