variant,epoch,is_selected_best,best_metric,best_metric_value,val_loss,near_group_count,near_safe_opportunity_group_count,near_raw_admission_rate,near_safe_positive_admission_recall,near_safe_admission_precision,near_invalid_admission_rate,near_evidence_safe_top1_accuracy,near_evidence_safe_top1_regret,near_population_safe_rank_risk,contact_group_count,contact_safe_opportunity_group_count,contact_raw_admission_rate,contact_safe_positive_admission_recall,contact_safe_admission_precision,contact_invalid_admission_rate,contact_evidence_safe_top1_accuracy,contact_evidence_safe_top1_regret,contact_population_safe_rank_risk,integrity_all_abstain_old,integrity_selection_risk
balanced,1,False,direct_population_safe_rank_risk,2.9348971703135764,16.425743308583918,119.0,7.0,0.008403361344537815,0.0,0.0,1.0,0.5714285714285714,0.24951216833932058,1.751108234581741,290.0,21.0,0.006896551724137931,0.0,0.0,1.0,0.47619047619047616,0.23601993631748924,1.997696089334513,0.0,25.939014371442386
balanced,2,False,direct_population_safe_rank_risk,2.899389603053268,16.222378927405018,119.0,7.0,0.008403361344537815,0.0,0.0,1.0,0.5714285714285714,0.24951216833932058,1.7099330272629247,290.0,21.0,0.006896551724137931,0.0,0.0,1.0,0.47619047619047616,0.23601993631748924,1.9775250769900297,0.0,25.893902400099766
balanced,3,True,direct_population_safe_rank_risk,2.875311501740896,16.037523005134467,119.0,7.0,0.01680672268907563,0.0,0.0,1.0,0.42857142857142855,0.32692492348807195,1.6932497029424598,290.0,21.0,0.006896551724137931,0.0,0.0,1.0,0.47619047619047616,0.23601993631748924,1.961599260804225,0.0,26.043337748463642
balanced,4,False,direct_population_safe_rank_risk,2.8966997785828497,15.931953225430615,119.0,7.0,0.01680672268907563,0.0,0.0,1.0,0.42857142857142855,0.32692492348807195,1.7441433120976757,290.0,21.0,0.006896551724137931,0.0,0.0,1.0,0.47619047619047616,0.23601993631748924,1.9685311604467444,0.0,26.10558024382669
balanced,5,False,direct_population_safe_rank_risk,2.922273607617317,15.887745488589282,119.0,7.0,0.025210084033613446,0.14285714285714285,0.3333333333333333,0.6666666666666666,0.42857142857142855,0.32692492348807195,1.799776453044199,290.0,21.0,0.006896551724137931,0.0,0.0,1.0,0.42857142857142855,0.2690278339915399,1.9778635954850137,0.0,20.65188891344741
balanced,6,False,direct_population_safe_rank_risk,2.9450816886209763,15.898022443952035,119.0,7.0,0.025210084033613446,0.14285714285714285,0.3333333333333333,0.6666666666666666,0.42857142857142855,0.32692492348807195,1.8465424107322115,290.0,21.0,0.006896551724137931,0.0,0.0,1.0,0.47619047619047616,0.245879578756867,1.986756868750339,0.0,20.72149325565904
balanced,7,False,direct_population_safe_rank_risk,2.965512915949613,15.918532304985579,119.0,7.0,0.025210084033613446,0.14285714285714285,0.3333333333333333,0.6666666666666666,0.42857142857142855,0.32692492348807195,1.885929151964687,290.0,21.0,0.006896551724137931,0.0,0.0,1.0,0.42857142857142855,0.27504430980526934,1.995224502366753,0.0,20.780396153846677
balanced,8,False,direct_population_safe_rank_risk,2.9823283204557485,15.94774973831999,119.0,7.0,0.01680672268907563,0.14285714285714285,0.5,0.5,0.42857142857142855,0.32692492348807195,1.9278251547113983,290.0,21.0,0.006896551724137931,0.0,0.0,1.0,0.47619047619047616,0.245879578756867,2.000297625422319,0.0,19.491920783838616
balanced,9,False,direct_population_safe_rank_risk,2.997828616544318,15.949155508897146,119.0,7.0,0.008403361344537815,0.0,0.0,1.0,0.42857142857142855,0.32692492348807195,1.952022261348428,290.0,21.0,0.0,0.0,0.0,0.0,0.47619047619047616,0.24850820603442292,2.007858440965769,0.0,26.377712124115348
precision,1,False,direct_population_safe_rank_risk,2.7914949185752755,17.199714350957326,119.0,7.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.32692492348807195,1.5481853621087365,290.0,18.0,0.010344827586206896,0.0,0.0,1.0,0.5555555555555556,0.19818876094288296,1.923558862438473,0.0,25.990645357710765
precision,2,True,direct_population_safe_rank_risk,2.7864339608581763,17.030389262679215,119.0,7.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.32692492348807195,1.4878740830119983,290.0,18.0,0.010344827586206896,0.0,0.0,1.0,0.5,0.22770084460576376,1.9315723520841415,0.0,25.985562554257115
precision,3,False,direct_population_safe_rank_risk,2.7883937848036005,16.86478638689557,119.0,7.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.32692492348807195,1.4439782534024048,290.0,18.0,0.010344827586206896,0.0,0.0,1.0,0.4444444444444444,0.285350298363806,1.9419193771623995,0.0,26.00003660320226
precision,4,False,direct_population_safe_rank_risk,2.802487642408356,16.77715477507965,119.0,7.0,0.008403361344537815,0.0,0.0,1.0,0.42857142857142855,0.32692492348807195,1.4495917048818872,290.0,18.0,0.013793103448275862,0.0,0.0,1.0,0.4444444444444444,0.285350298363806,1.9520717729503074,0.0,26.032417613292786
