scope,task,variant,stage,elapsed_seconds,epochs_completed,best_epoch,train_batches_per_epoch,val_batches_per_epoch,best_metric
main,main,balanced,factor,1922.583252063021,20,20,105,37,direct_factor_supervised_risk
main,main,balanced,admission,667.3951579593122,7,1,105,37,direct_contract_safe_rank_risk
main,main,balanced,joint_or_final,907.0110048819333,9,3,105,37,direct_contract_safe_rank_risk
main,main,precision,factor,1575.7324786661193,20,18,105,37,direct_factor_supervised_risk
main,main,precision,admission,529.9790295101702,7,1,105,37,direct_contract_safe_rank_risk
main,main,precision,joint_or_final,386.6532288584858,6,0,105,37,direct_contract_safe_rank_risk
ablation,A_contract_natural_no_reliability_no_joint_balanced,balanced,factor,1706.4809418944642,20,20,105,37,direct_factor_supervised_risk
ablation,A_contract_natural_no_reliability_no_joint_balanced,balanced,admission,452.909097594209,7,1,105,37,direct_contract_safe_rank_risk
ablation,A_contract_natural_no_reliability_no_joint_balanced,balanced,joint_or_final,452.909097594209,7,1,105,37,direct_contract_safe_rank_risk
ablation,A_contract_natural_no_reliability_no_joint_precision,precision,factor,1177.6451482651755,20,18,105,37,direct_factor_supervised_risk
ablation,A_contract_natural_no_reliability_no_joint_precision,precision,admission,396.23595510423183,7,1,105,37,direct_contract_safe_rank_risk
ablation,A_contract_natural_no_reliability_no_joint_precision,precision,joint_or_final,396.23595510423183,7,1,105,37,direct_contract_safe_rank_risk
ablation,B_add_support_reliability_no_joint_balanced,balanced,factor,1206.7618188625202,20,20,105,37,direct_factor_supervised_risk
ablation,B_add_support_reliability_no_joint_balanced,balanced,admission,437.1884414246306,7,1,105,37,direct_contract_safe_rank_risk
ablation,B_add_support_reliability_no_joint_balanced,balanced,joint_or_final,437.1884414246306,7,1,105,37,direct_contract_safe_rank_risk
ablation,B_add_support_reliability_no_joint_precision,precision,factor,1121.8406469402835,20,18,105,37,direct_factor_supervised_risk
ablation,B_add_support_reliability_no_joint_precision,precision,admission,387.55665213800967,7,1,105,37,direct_contract_safe_rank_risk
ablation,B_add_support_reliability_no_joint_precision,precision,joint_or_final,387.55665213800967,7,1,105,37,direct_contract_safe_rank_risk
ablation,C_add_joint_refinement_no_reliability_balanced,balanced,factor,1914.7427739026025,20,20,105,37,direct_factor_supervised_risk
ablation,C_add_joint_refinement_no_reliability_balanced,balanced,admission,683.5298486687243,7,1,105,37,direct_contract_safe_rank_risk
ablation,C_add_joint_refinement_no_reliability_balanced,balanced,joint_or_final,889.5176832806319,9,3,105,37,direct_contract_safe_rank_risk
ablation,C_add_joint_refinement_no_reliability_precision,precision,factor,1587.8265241403133,20,18,105,37,direct_factor_supervised_risk
ablation,C_add_joint_refinement_no_reliability_precision,precision,admission,530.0266658328474,7,1,105,37,direct_contract_safe_rank_risk
ablation,C_add_joint_refinement_no_reliability_precision,precision,joint_or_final,388.84368679486215,6,0,105,37,direct_contract_safe_rank_risk
ablation,D_full_contract_slack_rank_balanced,balanced,factor,1412.1042492557317,20,20,105,37,direct_factor_supervised_risk
ablation,D_full_contract_slack_rank_balanced,balanced,admission,484.4338631434366,7,1,105,37,direct_contract_safe_rank_risk
ablation,D_full_contract_slack_rank_balanced,balanced,joint_or_final,633.7897093677893,9,3,105,37,direct_contract_safe_rank_risk
ablation,D_full_contract_slack_rank_precision,precision,factor,1175.0594358304515,20,18,105,37,direct_factor_supervised_risk
ablation,D_full_contract_slack_rank_precision,precision,admission,409.03121065627784,7,1,105,37,direct_contract_safe_rank_risk
ablation,D_full_contract_slack_rank_precision,precision,joint_or_final,312.9739993009716,6,0,105,37,direct_contract_safe_rank_risk
