task,group,variant,regime,certificate_exit,valid,candidate_positive_auc,candidate_safe_positive_auc,proposal_evidence_top1_correlation,proposal_evidence_top1_safe_positive_auc,proposal_evidence_top1_harm_auc,cert_selected,cert_positive,cert_harmful,cert_precision_lcb,cert_harm_ucb,cert_recall,cert_advantage,cert_macro_share,identity_all_heads,safe_utility_gradient_coupled,adaptive_teacher_gap_margin,final_admission_calibration
A_admission_only_detached_fixed_margin_balanced,A_admission_only_detached_fixed_margin,balanced,near,20,False,0.8400562851782364,0.8381642512077294,-0.02366863821377414,0.7979438513246342,0.7199100650593188,7,0,1,0.0,0.37768959125465307,0.0,-0.08237653816583367,0.8571428571428571,False,False,False,True
A_admission_only_detached_fixed_margin_balanced,A_admission_only_detached_fixed_margin,balanced,contact,20,False,0.5673227116526086,0.5736742424242425,-0.16857196685370407,0.44476638898949655,0.6743642431597529,18,0,6,0.0,0.48429107475403876,0.0,-0.15994571115812548,0.6111111111111112,False,False,False,True
A_admission_only_detached_fixed_margin_precision,A_admission_only_detached_fixed_margin,precision,near,20,False,0.8189493433395872,0.7955582393988191,-0.01141411903717867,0.7895002523977789,0.6422775937394978,8,0,4,0.0,0.7063545713642548,0.0,-0.2981778511102713,0.875,False,False,False,True
A_admission_only_detached_fixed_margin_precision,A_admission_only_detached_fixed_margin,precision,contact,20,False,0.5399840327675379,0.5527406417112299,-0.16698739260072742,0.4514285714285714,0.6665581739991552,30,0,15,0.0,0.6139125456372903,0.0,-0.23033096128716524,0.8333333333333334,False,False,False,True
B_joint_identity_detached_fixed_margin_balanced,B_joint_identity_detached_fixed_margin,balanced,near,20,False,0.8376641651031895,0.836352657004831,-0.023181405759871185,0.7947805456702254,0.7110291652698626,5,0,1,0.0,0.4864585272436447,0.0,-0.11532715343216712,0.8,True,False,False,True
B_joint_identity_detached_fixed_margin_balanced,B_joint_identity_detached_fixed_margin,balanced,contact,20,False,0.5676698254017841,0.5750111408199643,-0.17855813005200374,0.4469395146685983,0.6606311147857241,22,0,8,0.0,0.5002502024423444,0.0,-0.1869493643136995,0.5454545454545454,True,False,False,True
B_joint_identity_detached_fixed_margin_precision,B_joint_identity_detached_fixed_margin,precision,near,20,False,0.8189493433395872,0.7955582393988191,-0.01141411903717867,0.7895002523977789,0.6422775937394978,8,0,4,0.0,0.7063545713642548,0.0,-0.2981778511102713,0.875,True,False,False,True
B_joint_identity_detached_fixed_margin_precision,B_joint_identity_detached_fixed_margin,precision,contact,20,False,0.5399840327675379,0.5527406417112299,-0.16698739260072742,0.4514285714285714,0.6665581739991552,30,0,15,0.0,0.6139125456372903,0.0,-0.23033096128716524,0.8333333333333334,True,False,False,True
C_joint_identity_coupled_fixed_margin_balanced,C_joint_identity_coupled_fixed_margin,balanced,near,20,False,0.824671669793621,0.83064949006978,-0.014296657960435251,0.7809410834321866,0.7027234369006521,0,0,0,,1.0,0.0,,0.0,True,True,False,True
C_joint_identity_coupled_fixed_margin_balanced,C_joint_identity_coupled_fixed_margin,balanced,contact,20,False,0.5700718525460794,0.5811051693404634,-0.13638106152755133,0.49867021276595747,0.6585714285714286,18,0,5,0.0,0.42720063681429055,0.0,-0.13375847424731818,0.7222222222222222,True,True,False,True
C_joint_identity_coupled_fixed_margin_precision,C_joint_identity_coupled_fixed_margin,precision,near,20,False,0.8189493433395872,0.7955582393988191,-0.01141411903717867,0.7895002523977789,0.6422775937394978,8,0,4,0.0,0.7063545713642548,0.0,-0.2981778511102713,0.875,True,True,False,True
C_joint_identity_coupled_fixed_margin_precision,C_joint_identity_coupled_fixed_margin,precision,contact,20,False,0.5399840327675379,0.5527406417112299,-0.16698739260072742,0.4514285714285714,0.6665581739991552,30,0,15,0.0,0.6139125456372903,0.0,-0.23033096128716524,0.8333333333333334,True,True,False,True
D_full_identity_utility_bridge_balanced,D_full_identity_utility_bridge,balanced,near,20,False,0.824812382739212,0.8309849704777241,-0.014171602311712638,0.7809410834321866,0.7027234369006521,0,0,0,,1.0,0.0,,0.0,True,True,True,True
D_full_identity_utility_bridge_balanced,D_full_identity_utility_bridge,balanced,contact,20,False,0.5699746606963102,0.581060606060606,-0.13625449528420605,0.49867021276595747,0.6585645272601794,18,0,5,0.0,0.42720063681429055,0.0,-0.13375847424731818,0.7222222222222222,True,True,True,True
D_full_identity_utility_bridge_precision,D_full_identity_utility_bridge,precision,near,20,False,0.8189493433395872,0.7955582393988191,-0.01141411903717867,0.7895002523977789,0.6422775937394978,8,0,4,0.0,0.7063545713642548,0.0,-0.2981778511102713,0.875,True,True,True,True
D_full_identity_utility_bridge_precision,D_full_identity_utility_bridge,precision,contact,20,False,0.5399840327675379,0.5527406417112299,-0.16698739260072742,0.4514285714285714,0.6665581739991552,30,0,15,0.0,0.6139125456372903,0.0,-0.23033096128716524,0.8333333333333334,True,True,True,True
