split,regime,num_samples,artifact_fraction,negative_deployable_fraction,incompatible_alias_pair_fraction,best_option_diversity_mean,failures_n
train,safe,20000,0.0,0.09885,0.0,1.0,0
train,near_contact,13324,0.18943260282197538,0.5531371960372261,0.16146350800754725,1.4172170519363554,0
train,contact,16790,0.16617033948779036,0.5434782608695652,0.09475940342265705,1.396962477665277,0
val,safe,2328,0.0,0.07345360824742268,0.0,1.0,0
val,near_contact,3445,0.2458635703918723,0.5042089985486212,0.20385424082382742,1.5468795355587808,0
val,contact,6477,0.21861973135710977,0.46147907982090475,0.13538516074808035,1.5714065153620502,0
calibration,safe,2544,0.0,0.05345911949685535,0.0,1.0,0
calibration,near_contact,6039,0.2399403874813711,0.4482530220235138,0.19569132261722136,1.526080476900149,0
calibration,contact,16843,0.21207623345009796,0.416909101703972,0.14227762481463715,1.5883749925785193,0
test,safe,3216,0.0,0.06902985074626866,0.0,1.0,0
test,near_contact,4723,0.24412449714164725,0.48803726445056106,0.20923013744957364,1.5651069235655304,0
test,contact,6687,0.2180349932705249,0.4439958127710483,0.1405349555492936,1.5966801256168686,0
