split,regime,num_samples,num_scenes,num_scene_time_groups,candidates_per_group_mean,feasible_fraction,future_count_mean,waymax_runtime_fraction,artifact_fraction,negative_deployable_fraction,oracle_recoverable_fraction,root_count_mean,valid_root_count_mean,incompatible_alias_pair_fraction,supports_fra,supports_odg,supports_observation_consistency,supports_heldout_test_protocol,failures,warnings
train,safe,20000,1171,2500,8.0,0.91345,3.0,1.0,0.0,0.09885,0.90115,8.0,2.0,0.0,False,False,False,False,0,20006
train,near_contact,13324,600,1800,7.402222222222222,0.8786400480336235,11.0,1.0,0.18943260282197538,0.5531371960372261,0.6362954067847493,8.0,6.363254277994597,0.16146350800754725,True,True,True,False,0,3
train,contact,16790,500,2000,8.395,0.8699225729600953,13.0,1.0,0.16617033948779036,0.5434782608695652,0.6226920786182252,8.0,7.974151280524121,0.09475940342265705,True,True,True,False,0,3
val,safe,2328,132,291,8.0,0.9239690721649485,3.0,1.0,0.0,0.07345360824742268,0.9265463917525774,8.0,2.0,0.0,False,False,False,False,0,2335
val,near_contact,3445,176,433,7.956120092378753,0.9349782293178519,11.0,1.0,0.2458635703918723,0.5042089985486212,0.7416545718432511,8.0,6.483018867924528,0.20385424082382742,True,True,True,False,0,4
val,contact,6477,211,723,8.95850622406639,0.9177088158097885,13.0,1.0,0.21861973135710977,0.46147907982090475,0.757140651536205,8.0,7.96541608769492,0.13538516074808035,True,True,True,False,0,3
calibration,safe,2544,135,318,8.0,0.9508647798742138,3.0,1.0,0.0,0.05345911949685535,0.9465408805031447,8.0,2.0,0.0,False,False,False,False,0,5
calibration,near_contact,6039,316,765,7.894117647058824,0.8618976651763537,11.0,1.0,0.2399403874813711,0.4482530220235138,0.7916873654578572,8.0,6.474913065077,0.19569132261722136,True,True,True,False,0,3
calibration,contact,16843,543,1896,8.8834388185654,0.8782877159650894,13.0,1.0,0.21207623345009796,0.416909101703972,0.795167131746126,8.0,7.979219853945259,0.14227762481463715,True,True,True,False,0,2
test,safe,3216,175,402,8.0,0.9275497512437811,3.0,1.0,0.0,0.06902985074626866,0.9309701492537313,8.0,2.0,0.0,False,False,False,True,0,3221
test,near_contact,4723,250,595,7.93781512605042,0.8994283294516198,11.0,1.0,0.24412449714164725,0.48803726445056106,0.7560872326910861,8.0,6.488248994283294,0.20923013744957364,True,True,True,True,0,3
test,contact,6687,209,747,8.951807228915662,0.8965156273366233,13.0,1.0,0.2180349932705249,0.4439958127710483,0.7740391804994766,8.0,7.962314939434724,0.1405349555492936,True,True,True,True,0,2
